File,timeISO8601,timeInt64,Dd,DMA1,DMA2,DMA3,DMA4,DMA5,DMA6,DMA7,DMA8,DMA9,DMA10,DMA11,DMA12,DMA13,DMA14,DMA15,DMA16,DMA17,DMA18,DMA19,DMA20,DMA21,DMA22,DMA23,DMA24,DMA25,DMA26,DMA27,DMA28,DMA29,DMA30,DMA31,DMA32,DMA33,DMA34,DMA35,DMA36,DMA37,DMA38,DMA39,DMA40,DMA41,DMA42,DMA43,DMA44,DMA45,DMA46,DMA47,DMA48,DMA49,DMA50,DMA51,DMA52,DMA53,DMA54,DMA55,DMA56,DMA57,DMA58,DMA59,DMA60
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,199.98499,204.375,208.88,213.5,218.26,223.14499,228.15,233.315,238.605,244.05501,249.64001,255.39502,261.31,267.38998,273.645,280.08002,286.695,293.505,300.515,307.71997,315.14,322.785,330.65002,338.745,347.085,355.66998,364.505,373.615,383.0,392.66003,402.62,412.88,423.455,434.345,445.58,457.155,469.08002,481.38,494.055,507.13,520.6,534.505,548.82996,563.61,578.85,594.56494,610.775,627.495,644.755,662.54,680.9,699.83496,719.38,739.54004,760.345,781.81006,803.96,826.81995,850.41504,874.76
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,202.18,206.63,211.19,215.88,220.7,225.65,230.73,235.96,241.33,246.85,252.52,258.35,264.35,270.52,276.86,283.39,290.1,297.01,304.12,311.43,318.96,326.72,334.7,342.91,351.38,360.09,369.06,378.31,387.83,397.64,407.75,418.17,428.9,439.96,451.37,463.12,475.23,487.72,500.59,513.87,527.55,541.67,556.22,571.23,586.71,602.67,619.14,636.12,653.65,671.72,690.37,709.61,729.46,749.94,771.08,792.89,815.39,838.62,862.59,887.33
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,204.375,208.88,213.5,218.26,223.14499,228.15,233.315,238.605,244.05501,249.64001,255.39502,261.31,267.38998,273.645,280.08002,286.695,293.505,300.515,307.71997,315.14,322.785,330.65002,338.745,347.085,355.66998,364.505,373.615,383.0,392.66003,402.62,412.88,423.455,434.345,445.58,457.155,469.08002,481.38,494.055,507.13,520.6,534.505,548.82996,563.61,578.85,594.56494,610.775,627.495,644.755,662.54,680.9,699.83496,719.38,739.54004,760.345,781.81006,803.96,826.81995,850.41504,874.76,899.9
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:02:31.0,63717321751000,250.0,0.0,0.0,0.0021852357,0.023366138,0.032747183,0.03934273,0.054489367,0.09639526,0.15183045,0.13503656,0.19080317,0.29994664,0.30556914,0.24371973,0.08180411,0.052757088,0.10582782,0.14279197,0.17071746,0.35099918,0.6701615,0.68210506,0.6101493,0.92137283,1.6547407,1.7162992,1.4691749,1.9389213,2.3946376,2.0337615,1.1023599,0.5586576,0.37229046,0.23868065,0.18229173,0.119936325,0.02360634,0.0031616655,0.009978964,0.050585773,0.005721785,0.0003447003,0.0,0.0,0.0,0.000350459,0.008801956,0.05735746,0.0069742072,0.0011871221,0.009651472,0.06018781,0.0074420692,0.00048184567,0.0,0.00036415752,0.00852358,0.09350252,0.09428287,0.018950231
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,40.0,41.0,42.015,43.07,44.145004,45.260002,46.395,47.57,48.765,49.995003,51.269997,52.57,53.9,55.285004,56.695,58.145,59.64,61.17,62.75,64.375,66.04001,67.759995,69.53,71.345,73.215,75.14,77.119995,79.16,81.265,83.425,85.66499,87.955,90.32001,92.765,95.270004,97.86499,100.54,103.295,106.145004,109.08499,112.115005,115.240005,118.475,121.805,125.255005,128.82,132.505,136.31,140.255,144.31999,148.54001,152.9,157.42,162.1,166.94,171.95499,177.16501,182.55002,188.15,193.95001
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,40.5,41.51,42.54,43.61,44.7,45.83,46.98,48.17,49.38,50.63,51.92,53.24,54.59,55.99,57.42,58.89,60.41,61.96,63.56,65.21,66.9,68.64,70.44,72.28,74.18,76.13,78.14,80.21,82.35,84.54,86.81,89.14,91.54,94.02,96.57,99.2,101.92,104.72,107.61,110.6,113.68,116.86,120.14,123.53,127.04,130.66,134.41,138.28,142.29,146.43,150.72,155.16,159.76,164.52,169.45,174.56,179.86,185.35,191.05,196.96
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,41.0,42.015,43.07,44.145004,45.260002,46.395,47.57,48.765,49.995003,51.269997,52.57,53.9,55.285004,56.695,58.145,59.64,61.17,62.75,64.375,66.04001,67.759995,69.53,71.345,73.215,75.14,77.119995,79.16,81.265,83.425,85.66499,87.955,90.32001,92.765,95.270004,97.86499,100.54,103.295,106.145004,109.08499,112.115005,115.240005,118.475,121.805,125.255005,128.82,132.505,136.31,140.255,144.31999,148.54001,152.9,157.42,162.1,166.94,171.95499,177.16501,182.55002,188.15,193.95001,199.97
sgpaoshtdma/sgpaoshtdmaE13.a1.20200214.000231.custom.cdf,2020-02-14T00:08:50.0,63717322130000,50.0,0.29941005,0.05368107,0.35354948,0.90672046,1.6347853,2.608805,4.4689827,7.659816,12.234419,16.030478,18.83585,25.701904,32.91702,31.987541,29.520597,25.432037,18.069883,11.653054,7.017704,3.6671526,1.6648867,0.6887876,0.26494652,0.11416257,0.11333986,0.10346951,0.10919287,0.050942086,0.0046923393,0.00034369438,0.0,0.0002309487,0.0035888,0.038262744,0.047591966,0.04664282,0.0047045755,0.0003546086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024465137,0.005417009,0.058410667,0.005714645,0.00037550737,0.0,0.00025304905,0.0054709325,0.060564846,0.005532818,0.00038889467,0.00026031528,0.00538015,0.060917486,0.011416538
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,0.0,79.990005,81.895004,83.84,85.845,87.895,90.005,92.175,94.395004,96.685,99.04,101.46,103.94,106.505005,109.134995,111.840004,114.62,117.485,120.42999,123.47,126.59,129.81,133.125,136.54001,140.055,143.68,147.42502,151.26999,155.25,159.355,163.585,167.95502,172.465,177.115,181.92,186.88,192.01001,197.31,202.80002,208.45999,214.32,220.37,226.64499,233.13501,239.85,246.81,254.00998,261.46997,269.185,277.19,285.49,294.09,303.005,312.25497,321.84998,331.8,342.12,352.83502,363.96997,375.505,387.495
Midpoints,2020-01-01T00:00:00.0,63713520000000,0.0,80.94,82.87,84.84,86.87,88.95,91.09,93.29,95.54,97.86,100.25,102.7,105.22,107.82,110.49,113.23,116.05,118.96,121.95,125.03,128.2,131.47,134.83,138.3,141.87,145.55,149.35,153.26,157.3,161.47,165.77,170.21,174.79,179.52,184.4,189.45,194.66,200.05,205.63,211.39,217.35,223.51,229.89,236.49,243.33,250.41,257.74,265.33,273.19,281.34,289.79,298.55,307.63,317.05,326.83,336.96,347.48,358.4,369.74,381.5,393.72
