File,timeISO8601,timeInt64,DMA1,DMA2,DMA3,DMA4,DMA5,DMA6,DMA7,DMA8,DMA9,DMA10,DMA11,DMA12,DMA13,DMA14,DMA15,DMA16,DMA17,DMA18,DMA19,DMA20,DMA21,DMA22,DMA23,DMA24,DMA25,DMA26,DMA27,DMA28,DMA29,DMA30,DMA31,DMA32,DMA33,DMA34,DMA35,DMA36,DMA37,DMA38,DMA39,DMA40,DMA41,DMA42,DMA43,DMA44,DMA45,DMA46,DMA47,DMA48,DMA49,DMA50,DMA51,DMA52,DMA53,DMA54,DMA55,DMA56,DMA57,DMA58,DMA59,DMA60,DMA61,DMA62,DMA63,DMA64,DMA65,DMA66,DMA67,DMA68,DMA69,DMA70,DMA71,DMA72,DMA73,DMA74,DMA75,DMA76,DMA77,DMA78,DMA79,DMA80,DMA81,DMA82,DMA83,DMA84,DMA85,DMA86,DMA87,DMA88,DMA89,DMA90,DMA91,DMA92,DMA93,DMA94,DMA95,DMA96,DMA97,DMA98,DMA99,DMA100,DMA101,DMA102,DMA103,DMA104,DMA105,DMA106,DMA107,DMA108,DMA109,DMA110,DMA111,DMA112,DMA113,DMA114,DMA115,DMA116,DMA117,DMA118,DMA119,DMA120,DMA121,DMA122,DMA123,DMA124,DMA125,DMA126
Lower bin bounds,2020-01-01T00:00:00.0,63713520000000,10.398077,10.748954,11.098198,11.547295,11.998334,12.398387,12.8475685,13.347659,13.847744,14.347823,14.847896,15.397078,15.997187,16.548111,17.14643,17.797472,18.44668,19.146801,19.846914,20.54702,21.296244,22.09638,22.896505,23.696623,24.545876,25.446022,26.395264,27.395437,28.395597,29.444864,30.545048,31.645222,32.794514,33.994705,35.244007,36.54422,37.844418,39.242832,40.69398,42.14333,43.692677,45.292934,46.942303,48.69168,50.491978,52.34138,54.24168,56.2402,58.340553,60.44088,62.639442,64.93982,67.2893,69.7388,72.3374,75.03786,77.73828,80.53695,83.53562,86.63613,89.78574,93.03537,96.43412,99.983795,103.63349,107.432304,111.38204,115.4809,119.7307,124.0805,128.62854,133.37842,138.22829,143.27641,148.52635,153.97455,159.62456,165.47281,171.57199,177.87122,184.37047,191.11887,198.1182,205.36667,212.86609,220.66374,228.76326,237.11191,245.80972,254.85849,264.2073,273.85617,283.8542,294.25226,305.05045,316.24863,327.8469,339.84525,352.2928,365.19125,378.53894,392.38666,406.7836,421.73154,437.17953,453.17673,469.774,486.97137,504.81796,523.31555,542.4624,562.3093,582.90546,604.3017,626.449,649.3946,673.1913,697.83716,723.3832,749.8785,777.37396,805.86957,835.36536,865.95953,897.7048,930.59924
Midpoints,2020-01-01T00:00:00.0,63713520000000,10.6,10.9,11.3,11.8,12.2,12.6,13.1,13.6,14.1,14.6,15.1,15.7,16.3,16.8,17.5,18.1,18.8,19.5,20.2,20.9,21.7,22.5,23.3,24.1,25.0,25.9,26.9,27.9,28.9,30.0,31.1,32.2,33.4,34.6,35.9,37.2,38.5,40.0,41.4,42.9,44.5,46.1,47.8,49.6,51.4,53.3,55.2,57.3,59.4,61.5,63.8,66.1,68.5,71.0,73.7,76.4,79.1,82.0,85.1,88.2,91.4,94.7,98.2,101.8,105.5,109.4,113.4,117.6,121.9,126.3,131.0,135.8,140.7,145.9,151.2,156.8,162.5,168.5,174.7,181.1,187.7,194.6,201.7,209.1,216.7,224.7,232.9,241.4,250.3,259.5,269.0,278.8,289.0,299.6,310.6,322.0,333.8,346.0,358.7,371.8,385.4,399.5,414.2,429.4,445.1,461.4,478.3,495.8,514.0,532.8,552.3,572.5,593.5,615.3,637.8,661.2,685.4,710.5,736.5,763.5,791.5,820.5,850.5,881.7,914.0,947.5
Upper bin bounds,2020-01-01T00:00:00.0,63713520000000,10.748954,11.098198,11.547295,11.998334,12.398387,12.8475685,13.347659,13.847744,14.347823,14.847896,15.397078,15.997187,16.548111,17.14643,17.797472,18.44668,19.146801,19.846914,20.54702,21.296244,22.09638,22.896505,23.696623,24.545876,25.446022,26.395264,27.395437,28.395597,29.444864,30.545048,31.645222,32.794514,33.994705,35.244007,36.54422,37.844418,39.242832,40.69398,42.14333,43.692677,45.292934,46.942303,48.69168,50.491978,52.34138,54.24168,56.2402,58.340553,60.44088,62.639442,64.93982,67.2893,69.7388,72.3374,75.03786,77.73828,80.53695,83.53562,86.63613,89.78574,93.03537,96.43412,99.983795,103.63349,107.432304,111.38204,115.4809,119.7307,124.0805,128.62854,133.37842,138.22829,143.27641,148.52635,153.97455,159.62456,165.47281,171.57199,177.87122,184.37047,191.11887,198.1182,205.36667,212.86609,220.66374,228.76326,237.11191,245.80972,254.85849,264.2073,273.85617,283.8542,294.25226,305.05045,316.24863,327.8469,339.84525,352.2928,365.19125,378.53894,392.38666,406.7836,421.73154,437.17953,453.17673,469.774,486.97137,504.81796,523.31555,542.4624,562.3093,582.90546,604.3017,626.449,649.3946,673.1913,697.83716,723.3832,749.8785,777.37396,805.86957,835.36536,865.95953,897.7048,930.59924,964.694
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:05:00.0,63717321900000,8.550741,7.720859,14.312747,10.262687,20.555796,22.292984,25.444178,36.15458,35.994423,39.0941,56.00839,61.086952,57.610184,75.18081,94.19542,98.62027,108.67421,122.393906,133.09026,135.44545,154.79514,153.6286,151.8067,154.1345,168.3017,159.41273,157.57848,145.26622,146.4988,129.93208,125.644066,120.54538,113.03204,107.23019,107.632614,99.838005,104.433075,102.282326,97.388916,106.08697,106.98284,103.925575,105.0288,106.52001,103.70757,89.88279,81.62591,76.09708,59.83831,53.596252,46.682995,38.376488,29.359602,23.581324,20.401285,15.672337,12.839027,11.114407,8.477227,6.733278,6.711073,5.518356,6.642595,5.098263,4.747937,4.6219788,4.581245,3.5342162,3.3978467,3.1143675,3.2775369,4.176338,3.7276247,3.2489529,3.1446028,3.2817285,2.7178519,2.6580238,2.7983785,2.7702143,3.1424396,2.2712786,2.9326682,3.3502333,2.5788841,2.380764,3.2363374,2.795404,2.7905726,2.6995268,2.537839,2.1475816,1.7046314,1.2813547,1.9335923,1.0754317,1.1863054,0.76834774,0.7815169,0.99265766,0.1517456,0.41076037,0.0,0.42591873,0.107740335,0.16499312,0.11218981,0.2277023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:10:00.0,63717322200000,5.441379,9.133494,15.574595,17.541267,18.63113,22.827538,24.159071,30.248325,37.334015,46.476376,54.317337,60.246758,65.68165,72.88579,89.24637,99.71695,120.40068,121.08529,133.35194,148.88167,155.05176,158.2496,163.97044,159.11201,157.80342,170.0003,163.96674,155.47076,149.19138,143.90007,127.68968,133.67145,116.44844,115.67676,106.54162,105.09341,110.14836,102.24351,106.057785,107.4862,102.89258,101.59695,105.50025,101.39024,93.08657,86.615944,79.10063,70.71356,59.814705,54.661255,44.799683,36.270332,30.51208,24.756624,19.222357,16.468039,12.615536,11.500524,8.768672,7.944573,7.134504,6.2996845,6.111187,6.45573,4.951455,5.174771,4.237022,4.8002033,2.9449637,4.085603,3.3477108,2.830031,3.4725072,2.6700766,3.316577,2.9574919,3.3478048,2.5442913,2.9867287,2.5861943,2.7777386,3.4190164,2.621227,3.0300262,2.6132736,3.3257337,2.7577581,2.9476993,3.3357408,2.31095,2.2355227,2.7337728,2.0842285,1.85271,1.2823238,1.2995563,1.1961242,1.1045135,0.6349864,0.893395,0.6069824,0.7701914,0.31436157,0.31944293,0.21548067,0.10999021,0.05610271,0.056929484,0.058123626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:15:00.0,63717322500000,6.1773434,3.240387,8.461317,18.592392,17.245792,16.374498,34.781048,33.311344,38.083797,43.170967,58.361744,68.70837,70.85604,80.71655,87.71765,102.3641,109.62781,120.92521,132.87537,142.23111,163.64433,157.31012,149.19778,156.1105,161.56767,162.5941,162.7598,154.93686,153.62408,137.89618,123.78423,130.95064,127.29257,119.02948,112.67846,106.5235,108.71771,111.984856,104.6025,110.94144,111.135445,113.03723,113.1372,110.617744,102.272385,93.387245,83.632614,79.11127,64.42745,55.752743,48.208244,37.62805,32.669796,27.034933,20.89699,16.826275,13.430781,12.344282,8.411417,7.175638,5.955837,5.3687468,5.1465373,5.508343,5.2175746,4.6648016,4.156601,4.824029,3.8449643,3.9329388,3.498248,3.5262578,3.868323,3.5127673,3.2580009,3.1734252,3.1319344,2.8131936,3.149554,3.6011178,3.1939752,2.3140485,2.964488,2.8097274,2.0396986,2.4717057,3.324899,3.3230555,2.5255089,1.738755,2.3094857,2.294947,1.5386213,1.6006681,1.3273847,1.2850401,1.4794164,0.7161841,0.87413895,0.8333884,0.35766712,0.45944506,0.46884668,0.2117329,0.5355958,0.4374458,0.33464885,0.16980368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:20:00.0,63717322800000,0.0,7.1519103,18.391214,19.252113,14.56715,19.757608,30.307354,29.410938,26.874878,43.993637,54.12725,62.570786,63.07235,74.37877,92.28753,98.72951,120.173096,126.049446,131.13803,147.59752,163.99149,167.3998,171.30618,167.26611,166.80157,175.81786,179.3178,161.36023,153.99136,150.7678,138.14334,129.47519,127.47857,123.21822,117.5712,115.34488,111.13921,111.54128,106.57002,114.753136,111.05207,114.6159,112.271355,110.13942,107.802666,97.00725,86.49881,82.19975,65.97814,57.127556,49.67831,39.646072,32.488342,28.534008,24.111416,16.26834,13.662936,11.352365,10.075047,7.949164,7.9576173,6.6946106,5.8094387,4.9948745,4.858084,5.9141583,4.425645,4.212805,3.4346387,3.5674982,3.5831785,4.094594,3.6558733,2.9502234,3.3136673,3.0097342,2.5305007,2.7453473,3.6626623,2.9229696,3.2043262,2.5317085,3.6632292,2.9802747,3.0437596,2.4194481,2.8844745,2.60074,2.4964795,2.8300745,2.6379414,1.7897189,2.199537,1.2541205,1.3167849,0.88512605,1.1819034,0.8133563,1.167934,0.7912014,0.20158368,0.7161859,0.41761285,0.26875955,0.42577958,0.16438389,0.16766794,0.2835845,0.115825266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:30:01.0,63717323401000,4.639994,4.5434737,8.474444,13.215092,20.000229,22.594774,27.054235,36.32299,38.386593,41.737324,51.688705,69.660614,80.15109,79.67962,105.22329,107.49236,118.86704,125.73859,124.66123,140.74835,144.09663,149.44107,153.13817,147.22627,149.31894,146.07307,148.47543,140.1033,129.0288,138.22682,124.50802,115.0478,112.54195,112.660965,110.608955,98.5651,105.27539,99.99749,100.119415,100.36629,101.20563,104.7243,102.99556,96.3695,91.1027,83.35334,78.86495,69.41705,58.276012,50.605953,43.927605,36.25155,30.720144,25.986725,20.409975,17.48738,11.223557,10.661132,8.822405,9.137367,6.3388286,7.2196054,6.5800505,4.8340936,5.7167306,5.1863275,4.6531596,4.990713,3.9925675,3.52413,4.230242,3.063942,3.9330022,2.8346481,2.8690245,2.849533,3.2063186,2.3505452,2.6910186,3.105135,3.0084555,3.1367643,2.0963326,2.7689166,1.9788413,2.8310263,2.773123,3.1800225,3.1330218,2.7152352,2.255727,2.471589,2.0672133,1.9368073,1.3556299,1.1177601,1.2288742,0.7174807,0.68111783,0.39550716,0.5038266,0.7671554,0.3131391,0.21212348,0.10731892,0.27390546,0.22350521,0.056710646,0.17369884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:35:00.0,63717323700000,4.651986,5.856517,10.619681,10.839252,20.960844,18.459185,33.330715,32.756027,42.654415,50.38225,58.51169,67.96835,61.18921,84.46531,101.14437,109.67271,119.54107,133.05223,130.47871,138.21133,158.67207,149.6129,144.04622,144.74973,152.65724,147.51625,149.28691,135.94252,134.33688,131.8015,118.430214,113.26473,114.455055,103.94901,102.554016,100.66309,99.34461,102.16551,101.32411,105.3325,99.41579,99.38807,97.79134,97.81734,91.28796,82.88249,76.22818,68.833694,56.56407,51.070786,41.11,37.79461,30.282568,24.474016,21.321556,15.211441,12.830855,12.491331,9.37649,8.642527,8.030451,6.6873965,6.4328732,5.520457,5.691918,3.8061028,4.0114694,5.39016,3.4462004,4.8103094,3.7100778,3.6736777,3.4061925,3.1325805,3.3470857,3.1663513,3.0726771,2.9276493,2.7045796,3.104574,3.1360695,2.893658,2.4071493,3.27098,3.2923293,2.3674884,2.5439286,3.2852087,3.2626884,2.5680873,2.4010668,2.6277533,2.1839283,1.36204,1.8910366,0.9259684,1.0418651,0.67097247,0.87746525,0.7925578,0.80772346,0.20497331,0.20916688,0.26568165,0.21505927,0.0,0.16796462,0.1136245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sgpaossmps/sgpaossmpsE13.a1.20200214.000000.nc,2020-02-14T00:40:00.0,63717324000000,0.77818,5.8775687,7.1045957,12.084924,18.74504,23.811619,33.534035,35.62998,43.524265,43.336494,51.742363,61.048725,74.07216,80.222786,103.10454,103.71099,115.01155,125.07638,129.48425,141.1614,148.10872,152.49445,144.21722,152.13075,154.6856,157.83542,140.69096,137.82256,136.03471,131.2416,124.49217,120.69368,113.6419,115.47542,112.079666,104.806366,106.83482,104.94149,97.47344,107.45969,104.600945,101.623024,103.898705,98.84427,92.0905,85.31362,75.33128,70.74027,61.510994,52.69164,45.556263,36.25575,32.438526,27.457312,19.382519,16.894602,14.053287,12.394912,9.225417,8.918389,8.732308,7.4868007,7.1788692,5.871135,4.530098,4.9279947,4.1840987,4.7415814,2.9873197,4.3377457,4.1069174,3.278092,3.2570975,3.2331674,3.470262,2.745878,3.4255645,3.4999588,3.1311858,2.5476353,2.7145557,2.1094942,3.298776,2.759244,3.0774145,2.6956391,3.1948357,2.6321251,2.6390672,1.7921225,2.1166341,2.2567158,1.4778421,1.5450257,1.7957325,1.2626559,1.1864772,0.76845706,0.6839132,0.5460459,0.20236388,0.46218368,0.36681786,0.2129828,0.48490176,0.055002913,0.28052917,0.2846787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
